Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Murders,0,2,1,4,1,0,2,0,2,1,0,3,1,0
Rapes,9,7,18,21,17,11,15,24,19,23,21,26,7,24
Robberies,21,14,23,22,15,12,17,14,19,10,14,14,10,15
Assaults,97,73,64,71,75,62,53,68,82,103,84,123,126,152
Burglaries,165,184,177,224,159,152,171,181,165,132,114,137,97,142
Thefts,937,914,927,875,950,769,763,763,926,905,842,796,668,796
Auto thefts,206,150,98,123,130,139,157,123,155,146,138,149,118,192
Arson,18,24,21,11,12,11,8,7,12,6,9,8,7,8

