Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Murders",1,3,0,2,1,1,3,0,1,2,2,1,1,0
"Rapes",19,28,34,25,22,26,43,32,43,35,40,37,26,11
"Robberies",22,21,23,35,28,24,27,21,26,24,36,18,20,4
"Assaults",187,220,206,184,183,211,182,152,186,126,165,115,107,66
"Burglaries",432,468,417,589,503,503,437,381,261,431,429,360,260,79
"Thefts","1805","1806","1564","2199","2117","1915","1704","1244","1455","1366","1382","1191","978","415"
"Auto thefts",104,89,80,106,129,123,134,86,113,133,140,122,61,22
"Arson",32,37,36,23,22,21,17,17,8,10,17,16,11,6

