Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Murders",20,23,35,25,27,15,28,25,28,46.0,43.0,31.0,35.0,58.0
"Rapes",91,59,80,62,95,85,83,233,264,92.0,114.0,103.0,105.0,94.0
"Robberies",489,229,318,289,291,277,238,254,304,267.0,285.0,258.0,236.0,201.0
"Assaults",549,386,507,447,534,500,382,548,567,239.0,759.0,689.0,755.0,979.0
"Burglaries",2269,1498,1918,1922,1827,1772,1617,1663,1311,618.0,1047.0,921.0,1516.0,1945.0
"Thefts",5431,3470,4744,4684,4792,4558,4566,4697,4754,1093.0,5166.0,6037.0,5112.0,5321.0
"Auto thefts",2017,1166,1080,1129,1264,1208,1045,956,989,5209.0,1506.0,1189.0,1258.0,1309.0
"Arson",0,0,0,0,0,69,56,61,77,53.0,61.0,34.0,45.0
