Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Murders",12,10,10,12,14,15,11,6,11,17,27,14,13,1
"Rapes",47,35,44,51,53,39,33,66,93,54,56,84,74,3
"Robberies",308,275,301,222,235,237,172,198,228,248,269,254,243,3
"Assaults",352,289,360,410,395,481,396,381,388,392,425,414,565,9
"Burglaries",1424,1561,1663,1598,1727,1277,1238,1007,1176,1114,1001,973,905,9
"Thefts",5646,5067,4632,5404,5213,4967,4679,4672,4876,5227,4725,4851,4404,49
"Auto thefts",704,688,407,504,589,597,569,581,549,807,768,736,962,7
"Arson",10,10,9,14,6,7,7,5,12,1,11,7,3,1

