Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Murders",0,0,0,1,1,1,0,2,0,0,1,0,0,0
"Rapes",7,12,12,9,12,9,9,8,7,9,18,13,17,12
"Robberies",14,10,21,12,12,6,11,6,11,7,9,12,4,11
"Assaults",68,64,56,44,44,43,38,40,56,55,63,84,66,80
"Burglaries",196,182,122,158,113,95,106,84,97,92,145,100,69,99
"Thefts",1009,951,838,756,867,777,716,638,679,740,698,672,606,646
"Auto thefts",156,104,69,85,106,97,76,92,113,95,99,79,86,158
"Arson",14,12,5,4,8,14,1,1,3,1,1,2,0,3
