Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Murders,0,4,5,1,3,1,1,0,2,2,2,1,2,0
Rapes,46,37,29,28,43,23,44,47,44,36,45,43,38,36
Robberies,15,24,30,29,26,23,24,24,25,32,23,19,27,18
Assaults,108,115,88,132,95,118,91,122,119,135,136,167,154,150
Burglaries,365,305,436,395,420,446,325,236,262,295,284,262,214,155
Thefts,2302,2097,2144,1803,1779,1813,1524,1503,1428,1413,1369,1336,1409,1044
Auto thefts,100,89,100,91,75,107,116,96,99,131,112,130,133,111
Arson,20,23,23,39,32,23,15,9,18,19,29,26,9,15
