Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Murders",40,30,25,16,25,23,15,21,27,31,35,35,35,45
"Rapes",278,282,262,251,245,242,250,243,360,327,406,407,387,353
"Robberies",557,482,527,481,490,496,467,496,733,653,599,571,460,442
"Assaults",2516,2303,2441,2290,2203,2135,2337,2179,2734,3152,2987,3653,3611,4032
"Burglaries",4362,4081,4054,4248,4017,3949,3941,3264,3489,3470,3296,3420,2674,2427
"Thefts",14296,14132,13928,12515,13615,15466,14930,13006,14178,15417,15943,15988,15937,13321
"Auto thefts",2139,1865,1674,1537,1908,1832,1989,2031,2052,2202,2492,2785,2318,2072
"Arson",189,187,180,129,139,134,113,120,129,136,100,139,127,132
